year,speaker,text,source
1832,José Joaquín Prieto,Primer Mensaje Presidencial. Se destaca la necesidad de fortalecer las instituciones republicanas y promover la educación pública. El gobierno prioriza la organización administrativa del Estado y el desarrollo del comercio exterior. Los puertos de Valparaíso y San Antonio son motores del crecimiento económico. Se enfatiza la importancia de la paz interior y las relaciones diplomáticas con los países vecinos.,BCN Historia Política - Primer Mensaje Presidencial 1832
1842,Manuel Montt,"Cuenta Pública. La República ha avanzado en su organización institucional. La educación debe ser la base del progreso nacional. Se promueve la construcción de escuelas en todas las provincias. El ferrocarril unirá Santiago con Valparaíso, transformando la geografía económica del país. Se impulsan las ciencias y las letras como instrumentos de civilización.",BCN Historia Política - Cuenta Pública 1842
1861,Manuel Montt,Cuenta Pública. Chile ha mantenido la paz y el orden público. La instrucción pública se ha extendido a nuevas provincias. Concepción y la frontera del Biobío requieren atención especial para consolidar la soberanía nacional. El comercio con Europa y América del Norte crece sostenidamente. Se impulsan las obras públicas y la colonización del sur.,BCN Historia Política - Cuenta Pública 1861
1873,José Manuel Balmaceda,"Cuenta Pública. El progreso material de la República es innegable. Los ferrocarriles se extienden hacia el sur, uniendo Santiago con Chillán y Temuco. La colonización del Territorio de Magallanes requiere políticas activas. La instrucción primaria debe ser obligatoria y laica para todos los chilenos. Se proyectan importantes obras de irrigación.",BCN Historia Política - Cuenta Pública 1873
1902,Germán Riesco,Cuenta Pública. El país experimenta una notable transformación económica. La industria salitrera alcanza su máximo esplendor. Se promueven las inversiones extranjeras en minería y ferrocarriles. La educación secundaria y universitaria requiere mayor inversión. Se fortalecen las relaciones con las naciones europeas.,BCN Historia Política - Cuenta Pública 1902
1925,Emiliano Figueroa,Cuenta Pública. Se ha promulgado nueva Constitución Política que moderniza el Estado. La separación entre Iglesia y Estado es un hito histórico. Se impulsa la industrialización y la protección de los trabajadores. La banca central debe ser autónoma para garantizar la estabilidad monetaria. Se amplían las vías de comunicación regional.,BCN Historia Política - Cuenta Pública 1925
1932,Juan Esteban Montero,Cuenta Pública. La crisis económica mundial ha golpeado fuertemente a Chile. Se implementan medidas de austeridad fiscal. El desempleo requiere políticas públicas de emergencia. La reorganización del Estado es prioridad para superar la crisis. Se busca diversificar la economía más allá de la minería del salitre y el cobre.,BCN Historia Política - Cuenta Pública 1932
1942,Juan Antonio Ríos,Cuenta Pública. Chile participa activamente en el esfuerzo de guerra aliado. La producción de cobre y otros minerales estratégicos es vital para la causa democrática. Se promueve la sustitución de importaciones y la industrialización. La educación técnica debe formar trabajadores calificados para las nuevas industrias.,BCN Historia Política - Cuenta Pública 1942
1946,Gabriel González Videla,Cuenta Pública. Chile ingresa a las Naciones Unidas como miembro fundador. La reforma agraria es necesaria para distribuir equitativamente la tierra. Se impulsa la electrificación del país y la construcción de embalses. La ciencia y la tecnología deben al servicio del desarrollo nacional. Se promueve la vivienda popular.,BCN Historia Política - Cuenta Pública 1946
1952,Carlos Ibáñez del Campo,Cuenta Pública. Se ha iniciado un proceso de modernización del Estado. La política de bienestar social busca mejorar las condiciones de vida de los trabajadores. La educación gratuita y el sistema de previsión social son pilares del progreso. Se impulsa la construcción de hospitales y consultorios en todo el país.,BCN Historia Política - Cuenta Pública 1952
